Category,Product Name,SKU,Variant / Size,Image Slot #,Image Type,Filename Suggestion,Status,Composition / Notes,AI Prompt (Honeyveda-inspired product photography)
Raw Honey,Organic Wild Forest Honey,OWF-500,500g Glass Jar,1,Hero — Front label,wild-forest-500-hero.png,HAVE,Straight-on jar shot with cream background,"Editorial product photograph of a 500g amber glass honey jar with cream-colored kraft label reading 'ORGANIC WILD FOREST HONEY — SUMOSTA'. Centered on a warm cream (#FFFDF8) seamless background, soft directional window light from the left, subtle drop shadow, natural warm amber liquid glowing through the glass. Aesop-meets-Honeyveda editorial style. Ultra-sharp, 8K, no props, minimalist, luxury wellness aesthetic."
Raw Honey,Organic Wild Forest Honey,OWF-500,500g Glass Jar,2,Angle — 3/4 turn,wild-forest-500-angle.png,PENDING,3/4 turn showing side of jar and gold cap detail,"Editorial 3/4 angle shot of 500g amber honey jar with matte gold metal lid. Warm cream (#FFFDF8) background, side-lit with golden hour light, visible label texture (recycled kraft paper, small NPOP + APEDA certification icons at bottom of label). Soft honey-colored shadow trailing to the right. Style: Aesop meets Le Labo product photography. Ultra-sharp, minimal, luxurious."
Raw Honey,Organic Wild Forest Honey,OWF-500,500g Glass Jar,3,Lifestyle — Drizzle,wild-forest-500-drizzle.png,PENDING,Honey being poured from wooden dipper,"Slow-motion still of thick golden honey drizzling from a raw wooden dipper into a small ceramic bowl. Bowl and dipper sit on a linen napkin (natural undyed) on aged oak wood surface. Honey catches the golden hour light, creating an amber ribbon. Shallow depth of field, background softly blurred to warm bokeh. Honeyveda / Marou Chocolate editorial style. Warm, rich, appetite-inducing."
Raw Honey,Organic Wild Forest Honey,OWF-500,500g Glass Jar,4,Lifestyle — Toast/Breakfast,wild-forest-500-breakfast.png,PENDING,Honey drizzled on sourdough with fig,"Overhead flat lay of artisan sourdough toast topped with fresh figs, ricotta, and a drizzle of raw amber honey. Cream linen tablecloth, small ceramic honey jar with 'SUMOSTA' label visible in top corner, brass spoon, scattered oats. Warm morning natural light, muted earthy palette. Kinfolk magazine styling. Realistic, wholesome, editorial."
Raw Honey,Organic Wild Forest Honey,OWF-500,500g Glass Jar,5,Origin — Forest source,wild-forest-500-origin.png,PENDING,Wild forest landscape from Madhya Pradesh,"Cinematic landscape photograph of a dense Central Indian sal forest at golden hour — tall trees, dappled sunlight, morning mist rising through the canopy, no people, ancient pristine wilderness feel. Warm amber tones, National Geographic editorial style. Suggests untouched biodiversity where wild honey is sourced."
Raw Honey,Organic Wild Forest Honey,OWF-500,500g Glass Jar,6,Ingredient — Bees & flowers,wild-forest-500-bees.png,PENDING,Bees on wild forest flowers,"Ultra-close macro photograph of Indian honeybees foraging on wild yellow-white forest wildflowers. Bees dusted with pollen, wings translucent, natural warm sunlight, out-of-focus green forest bokeh background. Real photography style, National Geographic macro quality. No AI artifacts, ultra-detailed insect anatomy."
Raw Honey,Organic Wild Forest Honey,OWF-250,250g Glass Jar,1,Hero — Front label,wild-forest-250-hero.png,PENDING,Smaller jar version of hero,"Editorial product photograph of a 250g amber glass honey jar (shorter and rounder than the 500g) with cream kraft label reading 'ORGANIC WILD FOREST HONEY 250g — SUMOSTA'. Centered on warm cream background, soft window light, subtle honey glow through glass, matte gold lid. Aesop-style luxury minimalism. Ultra-sharp."
Raw Honey,Organic Wild Forest Honey,OWF-250,250g Glass Jar,2,Size comparison,wild-forest-size-compare.png,PENDING,250g + 500g jars side by side,"Editorial photograph of two amber honey jars side by side — 250g on left, 500g on right — both with matching SUMOSTA kraft labels, matte gold lids. Cream (#FFFDF8) seamless background, single soft key light from top-left, matching drop shadows. Minimalist product catalog style. Ultra-sharp."
Raw Honey,Rare Dammer Bee Honey,RDB-500,500g Glass Jar,1,Hero — Front label,dammer-500-hero.png,HAVE,Rare honey premium jar,"Editorial product photograph of a 500g amber honey jar (slightly darker liquid than standard honey — this is stingless bee honey) with premium deep-teal label reading 'RARE DAMMER BEE HONEY — SUMOSTA — NAGALAND'. Centered on warm cream background, soft directional light, matte black lid with tiny gold foil stamp. Luxury collector's edition feel. Aesop / Le Labo aesthetic. Ultra-sharp."
Raw Honey,Rare Dammer Bee Honey,RDB-500,500g Glass Jar,2,Angle — 3/4 detail,dammer-500-angle.png,HAVE,3/4 turn showing premium label details,"3/4 angle editorial shot of the Rare Dammer Bee Honey jar showing the premium deep-teal label with hand-illustrated stingless bee icon, embossed 'LIMITED BATCH' foil, matte black lid. Cream background, side-lit with warm amber glow. Luxury collector's-edition product photography."
